"SampleAssignment","Moisture","Wetting","Suction","Homogenization","Amendments","class","rel_abund","se","relative_abundance"
"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","aliphatic",17.99,1.74,"17.99 ± 1.74"
"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","aromatic",18.67,2.32,"18.67 ± 2.32"
"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","condensed_arom",16.44,1.22,"16.44 ± 1.22"
"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","unsaturated/lignin",46.9,0.58,"46.9 ± 0.58"
"1.5-drought-groundw-C-Intact","drought","groundw",1.5,"Intact","C","aliphatic",28.23,4.41,"28.23 ± 4.41"
"1.5-drought-groundw-C-Intact","drought","groundw",1.5,"Intact","C","aromatic",12.67,2.11,"12.67 ± 2.11"
"1.5-drought-groundw-C-Intact","drought","groundw",1.5,"Intact","C","condensed_arom",8.22,1.66,"8.22 ± 1.66"
"1.5-drought-groundw-C-Intact","drought","groundw",1.5,"Intact","C","unsaturated/lignin",50.88,2.65,"50.88 ± 2.65"
"1.5-drought-groundw-control-Homogenized","drought","groundw",1.5,"Homogenized","control","aliphatic",9.77,1.3,"9.77 ± 1.3"
"1.5-drought-groundw-control-Homogenized","drought","groundw",1.5,"Homogenized","control","aromatic",23.41,1.54,"23.41 ± 1.54"
"1.5-drought-groundw-control-Homogenized","drought","groundw",1.5,"Homogenized","control","condensed_arom",18.04,1.87,"18.04 ± 1.87"
"1.5-drought-groundw-control-Homogenized","drought","groundw",1.5,"Homogenized","control","unsaturated/lignin",48.77,1.63,"48.77 ± 1.63"
"1.5-drought-groundw-control-Intact","drought","groundw",1.5,"Intact","control","aliphatic",31.89,3.65,"31.89 ± 3.65"
"1.5-drought-groundw-control-Intact","drought","groundw",1.5,"Intact","control","aromatic",6.52,1.08,"6.52 ± 1.08"
"1.5-drought-groundw-control-Intact","drought","groundw",1.5,"Intact","control","condensed_arom",20.91,1.69,"20.91 ± 1.69"
"1.5-drought-groundw-control-Intact","drought","groundw",1.5,"Intact","control","unsaturated/lignin",40.69,1.03,"40.69 ± 1.03"
"1.5-drought-groundw-N-Homogenized","drought","groundw",1.5,"Homogenized","N","aliphatic",27,2.02,"27 ± 2.02"
