"FTICR_ID","Core","Suction","Moisture","Wetting","Amendments","Homogenization","Assignment"
"LIntCal_0_140",22,50,"fm","groundw","C","Homogenized","50-fm-groundw-C-Homogenized"
"LIntCal_0_69",22,1.5,"fm","groundw","C","Intact","1.5-fm-groundw-C-Intact"
"LIntCal_0_51",22,15,"fm","groundw","C","Intact","15-fm-groundw-C-Intact"
"LIntCal_0_60",22,50,"fm","groundw","C","Intact","50-fm-groundw-C-Intact"
"LIntCal_0_149",24,1.5,"drought","groundw","N","Homogenized","1.5-drought-groundw-N-Homogenized"
"LIntCal_0_162",24,15,"drought","groundw","N","Homogenized","15-drought-groundw-N-Homogenized"
"LIntCal_0_248",24,50,"drought","groundw","N","Homogenized","50-drought-groundw-N-Homogenized"
"LIntCal_0_230",24,1.5,"drought","groundw","N","Intact","1.5-drought-groundw-N-Intact"
"LIntCal_0_270",24,15,"drought","groundw","N","Intact","15-drought-groundw-N-Intact"
"LIntCal_0_216",24,50,"drought","groundw","N","Intact","50-drought-groundw-N-Intact"
"LIntCal_0_152",25,1.5,"drought","precip","N","Homogenized","1.5-drought-precip-N-Homogenized"
"LIntCal_0_166",25,15,"drought","precip","N","Homogenized","15-drought-precip-N-Homogenized"
"LIntCal_0_266",25,50,"drought","precip","N","Homogenized","50-drought-precip-N-Homogenized"
"LIntCal_0_175",25,1.5,"drought","precip","N","Intact","1.5-drought-precip-N-Intact"
"LIntCal_0_263",25,50,"drought","precip","N","Intact","50-drought-precip-N-Intact"
"LIntCal_0_73",26,1.5,"fm","groundw","control","Homogenized","1.5-fm-groundw-control-Homogenized"
"LIntCal_0_92",26,15,"fm","groundw","control","Homogenized","15-fm-groundw-control-Homogenized"
"LIntCal_0_89",26,50,"fm","groundw","control","Homogenized","50-fm-groundw-control-Homogenized"
"LIntCal_0_20",26,1.5,"fm","groundw","control","Intact","1.5-fm-groundw-control-Intact"
"LIntCal_0_56",26,15,"fm","groundw","control","Intact","15-fm-groundw-control-Intact"
"LIntCal_0_15",26,50,"fm","groundw","control","Intact","50-fm-groundw-control-Intact"
