"Core","SampleAssignment","Moisture","Wetting","Suction","Homogenization","Amendments","class","abund","total","relabund"
6,"1.5-fm-groundw-C-Homogenized","fm","groundw",1.5,"Homogenized","C","unsaturated/lignin",448,1069,41.91
6,"1.5-fm-groundw-C-Intact","fm","groundw",1.5,"Intact","C","aliphatic",220,645,34.11
6,"1.5-fm-groundw-C-Intact","fm","groundw",1.5,"Intact","C","aromatic",43,645,6.67
6,"1.5-fm-groundw-C-Intact","fm","groundw",1.5,"Intact","C","condensed_arom",152,645,23.57
6,"1.5-fm-groundw-C-Intact","fm","groundw",1.5,"Intact","C","unsaturated/lignin",230,645,35.66
6,"50-fm-groundw-C-Homogenized","fm","groundw",50,"Homogenized","C","aliphatic",361,1722,20.96
6,"50-fm-groundw-C-Homogenized","fm","groundw",50,"Homogenized","C","aromatic",284,1722,16.49
6,"50-fm-groundw-C-Homogenized","fm","groundw",50,"Homogenized","C","condensed_arom",290,1722,16.84
6,"50-fm-groundw-C-Homogenized","fm","groundw",50,"Homogenized","C","unsaturated/lignin",787,1722,45.7
6,"50-fm-groundw-C-Intact","fm","groundw",50,"Intact","C","aliphatic",414,1162,35.63
6,"50-fm-groundw-C-Intact","fm","groundw",50,"Intact","C","aromatic",51,1162,4.39
6,"50-fm-groundw-C-Intact","fm","groundw",50,"Intact","C","condensed_arom",40,1162,3.44
6,"50-fm-groundw-C-Intact","fm","groundw",50,"Intact","C","unsaturated/lignin",657,1162,56.54
7,"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","aliphatic",373,2285,16.32
7,"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","aromatic",452,2285,19.78
7,"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","condensed_arom",414,2285,18.12
7,"1.5-drought-groundw-C-Homogenized","drought","groundw",1.5,"Homogenized","C","unsaturated/lignin",1046,2285,45.78
7,"50-drought-groundw-C-Homogenized","drought","groundw",50,"Homogenized","C","aliphatic",570,3757,15.17
