"CORE","Homogenization","mean_CO2C_mg_gC_s","cum_CO2C_mg_gC","Moisture","Wetting","Amendments","Assignment"
29,"Intact",0,274.81,"drought","precip","C","drought-precip-C"
3,"Homogenized",0,27.1,"fm","precip","C","fm-precip-C"
3,"Intact",0.01,950,"fm","precip","C","fm-precip-C"
32,"Homogenized",0.01,512.61,"fm","groundw","N","fm-groundw-N"
32,"Intact",0,188.68,"fm","groundw","N","fm-groundw-N"
33,"Homogenized",0,4.07,"drought","precip","C","drought-precip-C"
33,"Intact",0,150.11,"drought","precip","C","drought-precip-C"
35,"Homogenized",0,148.05,"fm","precip","C","fm-precip-C"
35,"Intact",0,197.59,"fm","precip","C","fm-precip-C"
36,"Homogenized",0,306.42,"drought","groundw","C","drought-groundw-C"
36,"Intact",0,343.79,"drought","groundw","C","drought-groundw-C"
37,"Homogenized",0,408.45,"fm","precip","control","fm-precip-control"
37,"Intact",0,70.37,"fm","precip","control","fm-precip-control"
38,"Homogenized",0.01,547.67,"fm","groundw","C","fm-groundw-C"
38,"Intact",NA,NA,"fm","groundw","C","fm-groundw-C"
39,"Homogenized",0.01,462.44,"drought","precip","control","drought-precip-control"
39,"Intact",0,327.67,"drought","precip","control","drought-precip-control"
4,"Homogenized",0,337.73,"drought","groundw","N","drought-groundw-N"
4,"Intact",0,268.88,"drought","groundw","N","drought-groundw-N"
40,"Homogenized",0.01,470.69,"drought","groundw","control","drought-groundw-control"
40,"Intact",0,267.92,"drought","groundw","control","drought-groundw-control"
43,"Homogenized",0,213.83,"drought","groundw","N","drought-groundw-N"
43,"Intact",0,141.52,"drought","groundw","N","drought-groundw-N"
44,"Homogenized",0,138.75,"fm","precip","N","fm-precip-N"
44,"Intact",0,335.64,"fm","precip","N","fm-precip-N"
45,"Homogenized",0,47.89,"drought","precip","N","drought-precip-N"
45,"Intact",NA,NA,"drought","precip","N","drought-precip-N"
47,"Homogenized",0,258.52,"fm","groundw","N","fm-groundw-N"
47,"Intact",0,229.45,"fm","groundw","N","fm-groundw-N"
48,"Homogenized",0,77.93,"fm","groundw","control","fm-groundw-control"
48,"Intact",0,98.68,"fm","groundw","control","fm-groundw-control"
5,"Homogenized",0,175.05,"drought","precip","N","drought-precip-N"
5,"Intact",0.01,455.09,"drought","precip","N","drought-precip-N"
50,"Homogenized",0,312.34,"fm","precip","C","fm-precip-C"
50,"Intact",0,162.57,"fm","precip","C","fm-precip-C"
51,"Homogenized",0,305.83,"drought","precip","control","drought-precip-control"
51,"Intact",0,334.57,"drought","precip","control","drought-precip-control"
52,"Homogenized",0,121.08,"drought","groundw","control","drought-groundw-control"
52,"Intact",0,323.94,"drought","groundw","control","drought-groundw-control"
53,"Homogenized",0,257.73,"fm","precip","control","fm-precip-control"
53,"Intact",0,33.61,"fm","precip","control","fm-precip-control"
54,"Homogenized",0,66.04,"drought","precip","C","drought-precip-C"
54,"Intact",0,238.64,"drought","precip","C","drought-precip-C"
55,"Intact",0,244.39,"fm","groundw","C","fm-groundw-C"
56,"Homogenized",0,211.97,"drought","groundw","C","drought-groundw-C"
56,"Intact",0,259.62,"drought","groundw","C","drought-groundw-C"
58,"Homogenized",0,114.5,"fm","precip","N","fm-precip-N"
58,"Intact",0,129.39,"fm","precip","N","fm-precip-N"
59,"Homogenized",0,344.83,"drought","groundw","N","drought-groundw-N"
59,"Intact",0,105.84,"drought","groundw","N","drought-groundw-N"
6,"Homogenized",0,367.38,"fm","groundw","C","fm-groundw-C"
6,"Intact",0,373.38,"fm","groundw","C","fm-groundw-C"
60,"Homogenized",0,200,"fm","groundw","control","fm-groundw-control"
60,"Intact",0,190.62,"fm","groundw","control","fm-groundw-control"
62,"Homogenized",0,122.58,"drought","precip","N","drought-precip-N"
62,"Intact",0,222.54,"drought","precip","N","drought-precip-N"
63,"Homogenized",0,47.89,"fm","groundw","N","fm-groundw-N"
63,"Intact",0,132.18,"fm","groundw","N","fm-groundw-N"
7,"Homogenized",0.01,534.79,"drought","groundw","C","drought-groundw-C"
7,"Intact",0,387.76,"drought","groundw","C","drought-groundw-C"
8,"Homogenized",0.01,519.08,"fm","groundw","control","fm-groundw-control"
8,"Intact",0,106.99,"fm","groundw","control","fm-groundw-control"
