"CORE","Homogenization","mean_CO2C_mg_gC_s","cum_CO2C_mg_gC","Moisture","Wetting","Amendments","Assignment"
1,"Homogenized",0,193.76,"fm","precip","control","fm-precip-control"
1,"Intact",0,166.97,"fm","precip","control","fm-precip-control"
10,"Homogenized",0,106.02,"drought","precip","C","drought-precip-C"
10,"Intact",0,278.85,"drought","precip","C","drought-precip-C"
12,"Homogenized",0,192.31,"fm","precip","N","fm-precip-N"
12,"Intact",0.01,515.59,"fm","precip","N","fm-precip-N"
13,"Homogenized",0,171.72,"fm","groundw","N","fm-groundw-N"
13,"Intact",0,40.29,"fm","groundw","N","fm-groundw-N"
14,"Homogenized",0,383.64,"drought","precip","control","drought-precip-control"
14,"Intact",0.01,452.83,"drought","precip","control","drought-precip-control"
15,"Homogenized",0.01,488.72,"drought","groundw","control","drought-groundw-control"
15,"Intact",0,123.54,"drought","groundw","control","drought-groundw-control"
17,"Homogenized",0,170.73,"drought","precip","control","drought-precip-control"
17,"Intact",0,365.46,"drought","precip","control","drought-precip-control"
18,"Homogenized",0,127.07,"fm","precip","control","fm-precip-control"
18,"Intact",0,21.78,"fm","precip","control","fm-precip-control"
19,"Homogenized",0,238.1,"fm","precip","C","fm-precip-C"
19,"Intact",0.01,532.16,"fm","precip","C","fm-precip-C"
20,"Homogenized",0,193.88,"drought","groundw","C","drought-groundw-C"
20,"Intact",0.01,483.7,"drought","groundw","C","drought-groundw-C"
22,"Homogenized",0,389.41,"fm","groundw","C","fm-groundw-C"
22,"Intact",0,186.87,"fm","groundw","C","fm-groundw-C"
24,"Homogenized",0,133.74,"drought","groundw","N","drought-groundw-N"
24,"Intact",0,221.45,"drought","groundw","N","drought-groundw-N"
25,"Homogenized",0,40,"drought","precip","N","drought-precip-N"
25,"Intact",0,323.77,"drought","precip","N","drought-precip-N"
26,"Homogenized",0,119.27,"fm","groundw","control","fm-groundw-control"
26,"Intact",0,65.16,"fm","groundw","control","fm-groundw-control"
27,"Homogenized",0.02,NA,"drought","groundw","control","drought-groundw-control"
27,"Intact",0,423.98,"drought","groundw","control","drought-groundw-control"
28,"Homogenized",0,155.49,"fm","precip","N","fm-precip-N"
28,"Intact",0,232.32,"fm","precip","N","fm-precip-N"
29,"Homogenized",0,13.04,"drought","precip","C","drought-precip-C"
